,Film,Year,Award,Nomination
0,Everything Everywhere All at Once,2022,7,11
1,All Quiet on the Western Front,2022,4,9
2,The Whale,2022,2,3
3,Top Gun: Maverick,2022,1,6
4,Black Panther: Wakanda Forever,2022,1,5
5,Avatar: The Way of Water,2022,1,4
6,Women Talking,2022,1,2
7,Guillermo del Toro's Pinocchio,2022,1,1
8,Navalny,2022,1,1
9,The Elephant Whisperers,2022,1,1
10,An Irish Goodbye,2022,1,1
11,"The Boy, the Mole, the Fox and the Horse",2022,1,1
12,RRR,2022,1,1
13,CODA,2021,3,3
14,Dune,2021,6,10
15,The Eyes of Tammy Faye,2021,2,2
16,No Time to Die,2021,1,3
17,The Windshield Wiper,2021,1,1
18,The Long Goodbye,2021,1,1
19,The Queen of Basketball,2021,1,1
20,Summer of Soul,2021,1,1
21,Drive My Car,2021,1,4
22,Encanto,2021,1,3
23,West Side Story,2021,1,7
24,Belfast,2021,1,7
25,The Power of the Dog,2021,1,12
26,King Richard,2021,1,6
27,Cruella,2021,1,2
28,Nomadland,21,3,6
29,The Father,21,2,6
30,Judas and the Black Messiah,21,2,6
31,Minari,21,1,6
32,Mank,21,2,10
33,Sound of Metal,21,2,6
34,Ma Rainey's Black Bottom,21,2,5
35,Promising Young Woman,21,1,5
36,Tenet,21,1,2
37,Soul,21,2,3
38,Another Round,21,1,2
39,My Octopus Teacher,21,1,1
40,Colette,21,1,1
41,If Anything Happens I Love You,21,1,1
42,Two Distant Strangers,21,1,1
43,Parasite,2019,4,6
44,Ford v Ferrari,2019,2,4
45,Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1
46,The Neighbors' Window,2019,1,1
47,Little Women,2019,1,6
48,Marriage Story,2019,1,6
49,Jojo Rabbit,2019,1,6
50,Toy Story 4,2019,1,2
51,Joker,2019,2,11
52,Once Upon a Time in Hollywood,2019,2,10
53,1917,2019,3,10
54,Judy,2019,1,2
55,Bombshell,2019,1,3
56,Rocketman,2019,1,1
57,American Factory,2019,1,1
58,Hair Love,2019,1,1
59,Green Book,2018,3,5
60,Bohemian Rhapsody,2018,4,5
61,Roma,2018,3,10
62,Black Panther,2018,3,7
63,The Favourite,2018,1,10
64,A Star Is Born,2018,1,8
65,Vice,2018,1,8
66,BlacKkKlansman,2018,1,6
67,First Man,2018,1,4
68,If Beale Street Could Talk,2018,1,3
69,Bao,2018,1,1
70,Free Solo,2018,1,1
71,Period. End of Sentence.,2018,1,1
72,Skin,2018,1,1
73,Spider-Man: Into the Spider-Verse,2018,1,1
74,The Shape of Water,2017,4,13
75,Dunkirk,2017,3,8
76,"Three Billboards Outside Ebbing, Missouri",2017,2,7
77,Darkest Hour,2017,2,6
78,Blade Runner 2049,2017,2,5
79,Coco,2017,2,2
80,Phantom Thread,2017,1,6
81,Call Me by Your Name,2017,1,4
82,Get Out,2017,1,4
83,"I, Tonya",2017,1,3
84,Dear Basketball,2017,1,1
85,A Fantastic Woman,2017,1,1
86,Heaven Is a Traffic Jam on the 405,2017,1,1
87,Icarus,2017,1,1
88,The Silent Child,2017,1,1
89,Flesh and Sand,2017,1,0
90,Moonlight,2016,3,8
91,La La Land,2016,6,14
92,Hacksaw Ridge,2016,2,6
93,Manchester by the Sea,2016,2,6
94,Arrival,2016,1,8
95,Fences,2016,1,4
96,Fantastic Beasts and Where to Find Them,2016,1,2
97,The Jungle Book,2016,1,1
98,O.J.: Made in America,2016,1,1
99,Piper,2016,1,1
100,The Salesman,2016,1,1
101,Sing,2016,1,1
102,Suicide Squad,2016,1,1
103,The White Helmets,2016,1,1
104,Zootopia,2016,1,1
105,Spotlight,2015,2,6
106,Mad Max: Fury Road,2015,6,10
107,The Revenant,2015,3,12
108,Bridge of Spies,2015,1,6
109,The Big Short,2015,1,5
110,The Danish Girl,2015,1,4
111,Room,2015,1,4
112,The Hateful Eight,2015,1,3
113,Ex Machina,2015,1,2
114,Inside Out,2015,1,2
115,Amy,2015,1,1
116,Bear Story,2015,1,1
117,A Girl in the River: The Price of Forgiveness,2015,1,1
118,Son of Saul,2015,1,1
119,Spectre,2015,1,1
120,Stutterer,2015,1,1
121,Birdman or (The Unexpected Virtue of Ignorance),2014,4,9
122,The Grand Budapest Hotel,2014,4,9
123,Whiplash,2014,3,5
124,The Imitation Game,2014,1,8
125,American Sniper,2014,1,6
126,Boyhood,2014,1,6
127,Interstellar,2014,1,5
128,The Theory of Everything,2014,1,5
129,Ida,2014,1,2
130,Selma,2014,1,2
131,Citizenfour,2014,1,1
132,Big Hero 6,2014,1,1
133,Crisis Hotline: Veterans Press 1,2014,1,1
134,The Phone Call,2014,1,1
135,Still Alice,2014,1,1
136,Feast,2014,1,1
137,12 Years a Slave,2013,3,9
138,Gravity,2013,7,10
139,Dallas Buyers Club,2013,3,6
140,Frozen,2013,2,2
141,The Great Gatsby,2013,2,2
142,Her,2013,1,5
143,Blue Jasmine,2013,1,3
144,Mr Hublot,2013,1,1
145,The Lady in Number 6,2013,1,1
146,Helium,2013,1,1
147,The Great Beauty,2013,1,1
148,20 Feet from Stardom,2013,1,1
149,Argo,2012,3,7
150,Life of Pi,2012,4,11
151,Les Misérables,2012,3,8
152,Lincoln,2012,2,12
153,Django Unchained,2012,2,5
154,Skyfall,2012,2,5
155,Silver Linings Playbook,2012,1,8
156,Zero Dark Thirty,2012,1,5
157,Amour,2012,1,5
158,Anna Karenina,2012,1,4
159,Paperman,2012,1,1
160,Brave,2012,1,1
161,Searching for Sugar Man,2012,1,1
162,Inocente,2012,1,1
163,Curfew,2012,1,1
164,The Artist,2011,5,10
165,Hugo,2011,5,11
166,The Iron Lady,2011,2,2
167,The Descendants,2011,1,5
168,The Girl with the Dragon Tattoo,2011,1,5
169,Midnight in Paris,2011,1,4
170,The Help,2011,1,4
171,A Separation,2011,1,2
172,The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1
173,The Shore,2011,1,1
174,Undefeated,2011,1,1
175,The Muppets,2011,1,1
176,Saving Face,2011,1,1
177,Beginners,2011,1,1
178,Rango,2011,1,1
179,The King's Speech,2010,4,12
180,Inception,2010,4,8
181,The Social Network,2010,3,8
182,The Fighter,2010,2,7
183,Toy Story 3,2010,2,5
184,Alice in Wonderland,2010,2,3
185,Black Swan,2010,1,5
186,In a Better World,2010,1,1
187,The Lost Thing,2010,1,1
188,God of Love,2010,1,1
189,The Wolfman,2010,1,1
190,Strangers No More,2010,1,1
191,Inside Job,2010,1,1
192,The Hurt Locker,2009,6,9
193,Avatar,2009,3,9
194,Precious,2009,2,6
195,Up,2009,2,5
196,Crazy Heart,2009,2,3
197,Inglourious Basterds,2009,1,8
198,Star Trek,2009,1,4
199,The Young Victoria,2009,1,3
200,The Blind Side,2009,1,2
201,Music by Prudence,2009,1,1
202,The Secret in Their Eyes,2009,1,1
203,The Cove,2009,1,1
204,The New Tenants,2009,1,1
205,Logorama,2009,1,1
206,Slumdog Millionaire,2008,8,10
207,The Curious Case of Benjamin Button,2008,3,13
208,Milk,2008,2,8
209,The Dark Knight,2008,2,8
210,WALL-E,2008,1,6
211,The Reader,2008,1,5
212,The Duchess,2008,1,2
213,Departures,2008,1,1
214,Vicky Cristina Barcelona,2008,1,1
215,Smile Pinki,2008,1,1
216,Man on Wire,2008,1,1
217,Toyland,2008,1,1
218,La Maison en Petits Cubes,2008,1,1
219,No Country for Old Men,2007,4,8
220,The Bourne Ultimatum,2007,3,3
221,There Will Be Blood,2007,2,8
222,La Vie en rose,2007,2,3
223,Atonement,2007,1,7
224,Michael Clayton,2007,1,7
225,Ratatouille,2007,1,5
226,Juno,2007,1,4
227,Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3
228,The Golden Compass,2007,1,2
229,Elizabeth: The Golden Age,2007,1,2
230,Taxi to the Dark Side,2007,1,1
231,Peter &amp; the Wolf,2007,1,1
232,Once,2007,1,1
233,Le Mozart des pickpockets,2007,1,1
234,The Counterfeiters,2007,1,1
235,Freeheld,2007,1,1
236,The Departed,2006,4,5
237,Pan's Labyrinth,2006,3,6
238,Dreamgirls,2006,2,8
239,Little Miss Sunshine,2006,2,4
240,An Inconvenient Truth,2006,2,2
241,Babel,2006,1,7
242,The Queen,2006,1,6
243,Letters from Iwo Jima,2006,1,4
244,Pirates of the Caribbean: Dead Man's Chest,2006,1,4
245,The Danish Poet,2006,1,1
246,Happy Feet,2006,1,1
247,The Last King of Scotland,2006,1,1
248,The Lives of Others,2006,1,1
249,Marie Antoinette,2006,1,1
250,West Bank Story,2006,1,1
251,The Blood of Yingzhou District,2006,1,1
252,Crash,2005,3,6
253,Brokeback Mountain,2005,3,8
254,Memoirs of a Geisha,2005,3,6
255,King Kong,2005,3,4
256,Capote,2005,1,5
257,Walk the Line,2005,1,5
258,The Constant Gardener,2005,1,4
259,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3
260,Hustle &amp; Flow,2005,1,2
261,Syriana,2005,1,2
262,March of the Penguins,2005,1,1
263,Six Shooter,2005,1,1
264,The Moon and the Son: An Imagined Conversation,2005,1,1
265,A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1
266,Tsotsi,2005,1,1
267,Wallace &amp; Gromit: The Curse of the Were-Rabbit,2005,1,1
268,Million Dollar Baby,2004,4,7
269,The Aviator,2004,5,11
270,Ray,2004,2,6
271,The Incredibles,2004,2,4
272,Finding Neverland,2004,1,7
273,Sideways,2004,1,5
274,Lemony Snicket's A Series of Unfortunate Events,2004,1,4
275,Spider-Man 2,2004,1,3
276,Eternal Sunshine of the Spotless Mind,2004,1,2
277,The Motorcycle Diaries,2004,1,2
278,The Sea Inside,2004,1,2
279,Born into Brothels,2004,1,1
280,Mighty Times: The Children's March,2004,1,1
281,Wasp,2004,1,1
282,Ryan,2004,1,1
283,The Lord of the Rings: The Return of the King,2003,11,11
284,Master and Commander: The Far Side of the World,2003,2,10
285,Mystic River,2003,2,6
286,Cold Mountain,2003,1,7
287,Lost in Translation,2003,1,4
288,Finding Nemo,2003,1,4
289,The Barbarian Invasions,2003,1,2
290,Two Soldiers,2003,1,1
291,Monster,2003,1,1
292,Harvie Krumpet,2003,1,1
293,Chernobyl Heart,2003,1,1
294,The Fog of War,2003,1,1
295,Chicago,2002,6,13
296,The Pianist,2002,3,7
297,The Lord of the Rings: The Two Towers,2002,2,6
298,Frida,2002,2,6
299,The Hours,2002,1,9
300,Road to Perdition,2002,1,6
301,Adaptation,2002,1,4
302,Talk to Her,2002,1,2
303,This Charming Man,2002,1,1
304,Spirited Away,2002,1,1
305,Nowhere in Africa,2002,1,1
306,The ChubbChubbs!,2002,1,1
307,Twin Towers,2002,1,1
308,Bowling for Columbine,2002,1,1
309,8 Mile,2002,1,1
310,A Beautiful Mind,2001,4,8
311,The Lord of the Rings: The Fellowship of the Ring,2001,4,13
312,Moulin Rouge!,2001,2,8
313,Black Hawk Down,2001,2,4
314,Gosford Park,2001,1,7
315,"Monsters, Inc.",2001,1,4
316,Pearl Harbor,2001,1,4
317,Iris,2001,1,3
318,Shrek,2001,1,2
319,Training Day,2001,1,2
320,Monster's Ball,2001,1,2
321,Thoth,2001,1,1
322,For the Birds,2001,1,1
323,No Man's Land,2001,1,1
324,Murder on a Sunday Morning,2001,1,1
325,The Accountant,2001,1,1
326,Gladiator,2000,5,12
327,"Crouching Tiger, Hidden Dragon",2000,4,10
328,Traffic,2000,4,5
329,Erin Brockovich,2000,1,5
330,Almost Famous,2000,1,4
331,Wonder Boys,2000,1,3
332,How the Grinch Stole Christmas,2000,1,3
333,U-571,2000,1,2
334,Pollock,2000,1,2
335,Father and Daughter,2000,1,1
336,Into the Arms of Strangers: Stories of the Kindertransport,2000,1,1
337,Quiero ser (I want to be...),2000,1,1
338,Big Mama,2000,1,1
339,American Beauty,1999,5,8
340,The Matrix,1999,4,4
341,The Cider House Rules,1999,2,7
342,Topsy-Turvy,1999,2,4
343,Sleepy Hollow,1999,1,3
344,Boys Don't Cry,1999,1,2
345,Tarzan,1999,1,1
346,One Day in September,1999,1,1
347,The Red Violin,1999,1,1
348,The Old Man and the Sea,1999,1,1
349,My Mother Dreams the Satan's Disciples in New York,1999,1,1
350,King Gimp,1999,1,1
351,"Girl, Interrupted",1999,1,1
352,All About My Mother,1999,1,1
353,Shakespeare in Love,1998,7,13
354,Saving Private Ryan,1998,5,11
355,Life Is Beautiful,1998,3,7
356,Elizabeth,1998,1,7
357,Gods and Monsters,1998,1,3
358,The Prince of Egypt,1998,1,2
359,Affliction,1998,1,2
360,What Dreams May Come,1998,1,2
361,The Personals,1998,1,1
362,The Last Days,1998,1,1
363,Election Night,1998,1,1
364,Bunny,1998,1,1
365,Titanic,1997,11,14
366,Good Will Hunting,1997,2,9
367,L.A. Confidential,1997,2,9
368,As Good as It Gets,1997,2,7
369,The Full Monty,1997,1,4
370,Men in Black,1997,1,3
371,Visas and Virtue,1997,1,1
372,Character,1997,1,1
373,Geri's Game,1997,1,1
374,A Story of Healing,1997,1,1
375,The Long Way Home,1997,1,1
376,The English Patient,1996,9,12
377,Fargo,1996,2,7
378,Shine,1996,1,7
379,Evita,1996,1,5
380,Jerry Maguire,1996,1,5
381,Independence Day,1996,1,2
382,Emma,1996,1,2
383,Sling Blade,1996,1,2
384,The Ghost and the Darkness,1996,1,1
385,Kolya,1996,1,1
386,The Nutty Professor,1996,1,1
387,Quest,1996,1,1
388,When We Were Kings,1996,1,1
389,Breathing Lessons: The Life and Work of Mark O'Brien,1996,1,1
390,Dear Diary,1996,1,1
391,Braveheart,1995,5,10
392,Apollo 13,1995,2,9
393,Pocahontas,1995,2,2
394,The Usual Suspects,1995,2,2
395,Restoration,1995,2,2
396,Babe,1995,1,7
397,Sense and Sensibility,1995,1,7
398,Il Postino: The Postman,1995,1,5
399,Dead Man Walking,1995,1,4
400,Leaving Las Vegas,1995,1,4
401,Mighty Aphrodite,1995,1,2
402,Anne Frank Remembered,1995,1,1
403,A Close Shave,1995,1,1
404,Lieberman in Love,1995,1,1
405,One Survivor Remembers,1995,1,1
406,Antonia's Line,1995,1,1
407,Toy Story,1995,0,3
408,Forrest Gump,1994,6,13
409,The Lion King,1994,2,4
410,Speed,1994,2,3
411,Ed Wood,1994,2,2
412,Pulp Fiction,1994,1,7
413,Bullets Over Broadway,1994,1,7
414,The Madness of King George,1994,1,4
415,Legends of the Fall,1994,1,3
416,A Time for Justice,1994,1,1
417,Franz Kafka's It's a Wonderful Life,1994,1,1
418,Maya Lin: A Strong Clear Vision,1994,1,1
419,Burnt by the Sun,1994,1,1
420,Trevor,1994,1,1
421,"The Adventures of Priscilla, Queen of the Desert",1994,1,1
422,Bob's Birthday,1994,1,1
423,Blue Sky,1994,1,1
424,Schindler's List,1993,7,12
425,The Piano,1993,3,8
426,Jurassic Park,1993,3,3
427,Philadelphia,1993,2,5
428,The Fugitive,1993,1,7
429,The Age of Innocence,1993,1,5
430,The Wrong Trousers,1993,1,1
431,Belle Epoque,1993,1,1
432,I Am a Promise: The Children of Stanton Elementary School,1993,1,1
433,Mrs. Doubtfire,1993,1,1
434,Black Rider,1993,1,1
435,Defending Our Lives,1993,1,1
436,Unforgiven,1992,4,9
437,Howards End,1992,3,9
438,Bram Stoker's Dracula,1992,3,4
439,Aladdin,1992,2,5
440,The Crying Game,1992,1,6
441,Scent of a Woman,1992,1,4
442,A River Runs Through It,1992,1,3
443,Indochine,1992,1,2
444,My Cousin Vinny,1992,1,1
445,The Panama Deception,1992,1,1
446,Educating Peter,1992,1,1
447,The Last of the Mohicans,1992,1,1
448,Death Becomes Her,1992,1,1
449,Omnibus,1992,1,1
450,Mona Lisa Descending a Staircase,1992,1,1
451,The Silence of the Lambs,1991,5,7
452,Terminator 2: Judgment Day,1991,4,6
453,Bugsy,1991,2,10
454,JFK,1991,2,8
455,Beauty and the Beast,1991,2,6
456,Thelma &amp; Louise,1991,1,6
457,The Fisher King,1991,1,5
458,In the Shadow of the Stars,1991,1,1
459,Manipulation,1991,1,1
460,Mediterraneo,1991,1,1
461,Session Man,1991,1,1
462,City Slickers,1991,1,1
463,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1,1
464,Dances with Wolves,1990,7,12
465,Dick Tracy,1990,3,7
466,Ghost,1990,2,5
467,Goodfellas,1990,1,6
468,The Hunt for Red October,1990,1,3
469,Reversal of Fortune,1990,1,3
470,Cyrano de Bergerac,1990,1,5
471,American Dream,1990,1,1
472,Journey of Hope,1990,1,1
473,Days of Waiting,1990,1,1
474,Creature Comforts,1990,1,1
475,The Lunch Date,1990,1,1
476,Misery,1990,1,1
477,Total Recall,1990,0,2
478,Driving Miss Daisy,1989,4,9
479,Glory,1989,3,5
480,Born on the Fourth of July,1989,2,8
481,My Left Foot,1989,2,5
482,The Little Mermaid,1989,2,3
483,Dead Poets Society,1989,1,4
484,The Abyss,1989,1,4
485,Indiana Jones and the Last Crusade,1989,1,3
486,Henry V,1989,1,3
487,The Johnstown Flood,1989,1,1
488,Common Threads: Stories from the Quilt,1989,1,1
489,Cinema Paradiso,1989,1,1
490,Work Experience,1989,1,1
491,Batman,1989,1,1
492,Balance,1989,1,1
493,Rain Man,1988,4,8
494,Dangerous Liaisons,1988,3,7
495,Who Framed Roger Rabbit,1988,3,6
496,Mississippi Burning,1988,1,7
497,Working Girl,1988,1,6
498,The Accidental Tourist,1988,1,4
499,A Fish Called Wanda,1988,1,3
500,Pelle the Conqueror,1988,1,2
501,The Accused,1988,1,1
502,The Appointments of Dennis Jennings,1988,1,1
503,Beetlejuice,1988,1,1
504,Bird,1988,1,1
505,Hôtel Terminus: The Life and Times of Klaus Barbie,1988,1,1
506,The Milagro Beanfield War,1988,1,1
507,Tin Toy,1988,1,1
508,You Don't Have to Die,1988,1,1
509,The Last Emperor,1987,9,9
510,Moonstruck,1987,3,6
511,The Untouchables,1987,1,4
512,Babette's Feast,1987,1,1
513,Dirty Dancing,1987,1,1
514,Harry and the Hendersons,1987,1,1
515,Innerspace,1987,1,1
516,The Man Who Planted Trees,1987,1,1
517,Ray's Male Heterosexual Dance Hall,1987,1,1
518,The Ten-Year Lunch,1987,1,1
519,Wall Street,1987,1,1
520,Young at Heart,1987,1,1
521,RoboCop,1987,0,2
522,Platoon,1986,4,8
523,A Room with a View,1986,3,8
524,Hannah and Her Sisters,1986,3,7
525,Aliens,1986,2,7
526,The Mission,1986,1,7
527,Children of a Lesser God,1986,1,5
528,The Color of Money,1986,1,4
529,Top Gun,1986,1,4
530,Round Midnight,1986,1,2
531,Artie Shaw: Time Is All You've Got,1986,1,1
532,The Assault,1986,1,1
533,Down and Out in America,1986,1,1
534,The Fly,1986,1,1
535,A Greek Tragedy,1986,1,1
536,Precious Images,1986,1,1
537,"Women – for America, for the World",1986,1,1
538,Out of Africa,1985,7,11
539,Witness,1985,2,8
540,Cocoon,1985,2,2
541,Prizzi's Honor,1985,1,8
542,Back to the Future,1985,1,4
543,Kiss of the Spider Woman,1985,1,4
544,Ran,1985,1,4
545,The Official Story,1985,1,2
546,The Trip to Bountiful,1985,1,2
547,White Nights,1985,1,2
548,Anna &amp; Bella,1985,1,1
549,Broken Rainbow,1985,1,1
550,Mask,1985,1,1
551,Molly's Pilgrim,1985,1,1
552,Witness to War: Dr. Charlie Clements,1985,1,1
553,Amadeus,1984,8,11
554,The Killing Fields,1984,3,7
555,A Passage to India,1984,2,11
556,Places in the Heart,1984,2,7
557,Indiana Jones and the Temple of Doom,1984,1,2
558,Charade,1984,1,1
559,Dangerous Moves,1984,1,1
560,Purple Rain,1984,1,1
561,The Stone Carvers,1984,1,1
562,The Times of Harvey Milk,1984,1,1
563,Up,1984,1,1
564,The Woman in Red,1984,1,1
565,The River,1984,0,4
566,Terms of Endearment,1983,5,11
567,The Right Stuff,1983,4,8
568,Fanny &amp; Alexander,1983,4,6
569,Tender Mercies,1983,2,5
570,Yentl,1983,1,5
571,Flashdance,1983,1,4
572,Boys and Girls,1983,1,1
573,Flamenco at 5:15,1983,1,1
574,He Makes Me Feel Like Dancin',1983,1,1
575,Sundae in New York,1983,1,1
576,The Year of Living Dangerously,1983,1,1
577,Return of the Jedi,1983,0,4
578,Gandhi,1982,8,11
579,E.T.: The Extra-Terrestrial,1982,4,9
580,An Officer and a Gentleman,1982,2,6
581,Tootsie,1982,1,10
582,Victor/Victoria,1982,1,7
583,Sophie's Choice,1982,1,5
584,Missing,1982,1,4
585,If You Love This Planet,1982,1,1
586,Just Another Missing Kid,1982,1,2
587,A Shocking Accident,1982,1,1
588,Tango,1982,1,1
589,To Begin Again,1982,1,1
590,Quest for Fire,1982,1,1
591,Chariots of Fire,1981,4,7
592,Raiders of the Lost Ark,1981,4,8
593,Reds,1981,3,12
594,On Golden Pond,1981,3,10
595,Arthur,1981,2,4
596,An American Werewolf in London,1981,1,1
597,Close Harmony,1981,1,1
598,Crac,1981,1,1
599,Genocide,1981,1,1
600,Mephisto,1981,1,1
601,Violet,1981,1,1
602,Ordinary People,1980,4,6
603,Tess,1980,3,6
604,Raging Bull,1980,2,8
605,Fame,1980,2,6
606,Melvin and Howard,1980,2,3
607,Coal Miner's Daughter,1980,1,7
608,The Empire Strikes Back,1980,1,3
609,The Dollar Bottom,1980,1,1
610,The Fly,1980,1,1
611,From Mao to Mozart: Isaac Stern in China,1980,1,1
612,Karl Hess: Toward Liberty,1980,1,1
613,Moscow Does Not Believe in Tears,1980,1,1
614,Kramer vs. Kramer,1979,5,9
615,All That Jazz,1979,4,9
616,Apocalypse Now,1979,2,8
617,Norma Rae,1979,2,4
618,Breaking Away,1979,1,5
619,Alien,1979,1,2
620,Being There,1979,1,2
621,A Little Romance,1979,1,2
622,Best Boy,1979,1,1
623,Board and Care,1979,1,1
624,Every Child,1979,1,1
625,Paul Robeson: Tribute to an Artist,1979,1,1
626,The Tin Drum,1979,1,1
627,The Black Stallion,1979,0,2
628,The Deer Hunter,1978,5,9
629,Coming Home,1978,3,8
630,Midnight Express,1978,2,6
631,Heaven Can Wait,1978,1,9
632,Days of Heaven,1978,1,4
633,California Suite,1978,1,3
634,The Buddy Holly Story,1978,1,3
635,Death on the Nile,1978,1,1
636,The Flight of the Gossamer Condor,1978,1,1
637,Get Out Your Handkerchiefs,1978,1,1
638,Scared Straight!,1978,1,1
639,Special Delivery,1978,1,1
640,Teenage Father,1978,1,1
641,Thank God It's Friday,1978,1,1
642,Superman,1978,0,3
643,Annie Hall,1977,4,5
644,Star Wars,1977,6,10
645,Julia,1977,3,11
646,Close Encounters of the Third Kind,1977,1,8
647,The Goodbye Girl,1977,1,5
648,A Little Night Music,1977,1,2
649,Gravity Is My Enemy,1977,1,1
650,I'll Find a Way,1977,1,1
651,Madame Rosa,1977,1,1
652,The Sand Castle,1977,1,1
653,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1,1
654,You Light Up My Life,1977,1,1
655,Rocky,1976,3,10
656,Network,1976,4,10
657,All the President's Men,1976,4,8
658,Bound for Glory,1976,2,6
659,A Star Is Born,1976,1,4
660,Fellini's Casanova,1976,1,2
661,The Omen,1976,1,2
662,Black and White in Color,1976,1,1
663,"Harlan County, USA",1976,1,1
664,In the Region of Ice,1976,1,1
665,Leisure,1976,1,1
666,Number Our Days,1976,1,1
667,King Kong,1976,0,2
668,Logan's Run,1976,0,2
669,One Flew Over the Cuckoo's Nest,1975,5,9
670,Barry Lyndon,1975,4,7
671,Jaws,1975,3,4
672,Dog Day Afternoon,1975,1,6
673,Nashville,1975,1,5
674,Shampoo,1975,1,4
675,The Sunshine Boys,1975,1,4
676,Angel and Big Joe,1975,1,1
677,Dersu Uzala,1975,1,1
678,The End of the Game,1975,1,1
679,Great,1975,1,1
680,The Man Who Skied Down Everest,1975,1,1
681,The Hindenburg,1975,0,3
682,The Godfather: Part II,1974,6,11
683,The Towering Inferno,1974,3,8
684,The Great Gatsby,1974,2,2
685,Chinatown,1974,1,11
686,Murder on the Orient Express,1974,1,6
687,Earthquake,1974,1,4
688,Alice Doesn't Live Here Anymore,1974,1,3
689,Amarcord,1974,1,3
690,Harry and Tonto,1974,1,2
691,Closed Mondays,1974,1,1
692,Don't,1974,1,1
693,Hearts and Minds,1974,1,1
694,One-Eyed Men Are Kings,1974,1,1
