,Film,Year,Award,Nomination
695,The Sting,1973,7,10
696,The Exorcist,1973,2,10
697,The Way We Were,1973,2,6
698,Cries and Whispers,1973,1,5
699,A Touch of Class,1973,1,5
700,Day for Night,1973,1,4
701,Paper Moon,1973,1,4
702,The Paper Chase,1973,1,3
703,Save the Tiger,1973,1,3
704,The Bolero,1973,1,1
705,Frank Film,1973,1,1
706,The Great American Cowboy,1973,1,1
707,Princeton: A Search for Answers,1973,1,1
708,The Godfather,1972,3,4
709,Cabaret,1972,8,10
710,The Poseidon Adventure,1972,1,8
711,Travels with My Aunt,1972,1,4
712,Butterflies Are Free,1972,1,3
713,The Candidate,1972,1,2
714,The Discreet Charm of the Bourgeoisie,1972,1,2
715,A Christmas Carol,1972,1,5
716,Limelight,1972,1,6
717,Marjoe,1972,1,1
718,Norman Rockwell's World... An American Dream,1972,1,1
719,This Tiny World,1972,1,1
720,The French Connection,1971,5,8
721,Fiddler on the Roof,1971,3,8
722,The Last Picture Show,1971,2,8
723,Nicholas and Alexandra,1971,2,6
724,Sentinels of Silence,1971,2,2
725,Bedknobs and Broomsticks,1971,1,5
726,Summer of '42,1971,1,4
727,The Garden of the Finzi-Continis,1971,1,2
728,The Hospital,1971,1,2
729,Klute,1971,1,2
730,Shaft,1971,1,2
731,The Crunch Bird,1971,1,1
732,The Hellstrom Chronicle,1971,1,1
733,Patton,1970,7,10
734,Ryan's Daughter,1970,2,4
735,Airport,1970,1,10
736,Love Story,1970,1,7
737,M*A*S*H,1970,1,5
738,Tora! Tora! Tora!,1970,1,5
739,Women in Love,1970,1,4
740,Lovers and Other Strangers,1970,1,3
741,Woodstock,1970,1,3
742,Cromwell,1970,1,2
743,Investigation of a Citizen Above Suspicion,1970,1,2
744,Interviews with My Lai Veterans,1970,1,1
745,Is It Always Right to Be Right?,1970,1,1
746,Let It Be,1970,1,1
747,The Resurrection of Broncho Billy,1970,1,1
748,Midnight Cowboy,1969,3,7
749,Butch Cassidy and the Sundance Kid,1969,4,7
750,"Hello, Dolly!",1969,3,7
751,Z,1969,2,5
752,Anne of the Thousand Days,1969,1,10
753,"They Shoot Horses, Don't They?",1969,1,9
754,Marooned,1969,1,3
755,The Magic Machines,1969,1,2
756,The Prime of Miss Jean Brodie,1969,1,2
757,True Grit,1969,1,2
758,Arthur Rubinstein – The Love of Life,1969,1,1
759,Cactus Flower,1969,1,1
760,Czechoslovakia 1968,1969,1,1
761,It's Tough to Be a Bird,1969,1,1
762,Oliver!,1968,5,11
763,The Lion in Winter,1968,3,7
764,Romeo and Juliet,1968,2,4
765,Funny Girl,1968,1,8
766,2001: A Space Odyssey,1968,1,4
767,Bullitt,1968,1,2
768,The Producers,1967,1,2
769,Rosemary's Baby,1968,1,2
770,The Subject Was Roses,1968,1,2
771,The Thomas Crown Affair,1968,1,2
772,War and Peace,1968,1,2
773,Charly,1968,1,1
774,Journey into Self,1968,1,1
775,Robert Kennedy Remembered,1968,1,1
776,Why Man Creates,1968,1,1
777,Winnie the Pooh and the Blustery Day,1968,1,1
778,Planet of the Apes,1968,0,2
779,In the Heat of the Night,1967,5,7
780,Camelot,1967,3,5
781,Bonnie and Clyde,1967,2,10
782,Guess Who's Coming to Dinner,1967,2,10
783,Doctor Dolittle,1967,2,9
784,The Graduate,1967,1,7
785,Thoroughly Modern Millie,1967,1,7
786,Cool Hand Luke,1967,1,4
787,The Dirty Dozen,1967,1,4
788,A Place to Stand,1967,1,2
789,The Anderson Platoon,1967,1,1
790,The Box,1967,1,1
791,Closely Watched Trains,1967,1,1
792,The Redwoods,1967,1,1
793,A Man for All Seasons,1966,6,8
794,Who's Afraid of Virginia Woolf?,1966,5,13
795,Grand Prix,1966,3,3
796,Fantastic Voyage,1966,2,5
797,A Man and a Woman,1966,2,4
798,Born Free,1966,2,2
799,The Fortune Cookie,1966,1,4
800,A Funny Thing Happened on the Way to the Forum,1966,1,1
801,A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1
802,The War Game,1966,1,1
803,Wild Wings,1966,1,1
804,A Year Toward Tomorrow,1966,1,1
805,The Sound of Music,1965,5,10
806,Doctor Zhivago,1965,5,10
807,Darling,1965,3,5
808,Ship of Fools,1965,2,8
809,Cat Ballou,1965,1,5
810,The Great Race,1965,1,5
811,A Patch of Blue,1965,1,5
812,A Thousand Clowns,1965,1,4
813,The Shop on Main Street,1965,1,2
814,The Sandpiper,1965,1,1
815,The Eleanor Roosevelt Story,1965,1,1
816,To Be Alive!,1965,1,1
817,7 Faces of Dr. Lao,1964,0,1
818,7th Heaven,28,3,5
819,"20,000 Leagues Under the Sea",1954,2,3
820,Adventures of Don Juan,1949,1,2
821,The Adventures of Robin Hood,1938,3,4
822,The African Queen,1951,1,4
823,Air Force,1943,1,4
824,The Alamo,1960,1,7
825,The Alaskan Eskimo,1953,1,1
826,Albert Schweitzer,1957,1,1
827,Alexander's Ragtime Band,1938,1,6
828,All About Eve,1950,6,14
829,All Quiet on the Western Front,30,2,4
830,All That Money Can Buy,1941,1,2
831,All the King's Men,1949,3,7
832,Ama Girls,1958,1,1
833,America America,1963,1,4
834,An American in Paris,1951,6,8
835,Amphibious Fighters,1943,1,1
836,Anastasia,1956,1,2
837,Anchors Aweigh,1945,1,5
838,Anna and the King of Siam,1946,2,5
839,Annie Get Your Gun,1950,1,4
840,Anthony Adverse,1936,4,7
841,The Apartment,1960,5,10
842,Aquatic House Party,1949,1,1
843,"Arise, My Love",1940,1,4
844,Around the World in 80 Days,1956,5,8
845,The Awful Truth,1937,1,6
846,The Bachelor and the Bobby-Soxer,1947,1,1
847,The Bad and the Beautiful,1952,5,6
848,Bad Girl,32,2,3
849,The Barefoot Contessa,1954,1,2
850,The Battle of Midway,1942,1,1
851,Battleground,1949,2,6
852,Bear Country,1953,1,1
853,Becket,1964,1,12
854,The Bells of St. Mary's,1945,1,8
855,Ben-Hur,1959,11,12
856,Benjy,1951,1,1
857,The Bespoke Overcoat,1956,1,1
858,The Best Years of Our Lives,1946,7,8
859,Beyond the Line of Duty,1942,1,1
860,Bicycle Thieves,1949,0,1
861,The Big Broadcast of 1938,1938,1,1
862,The Big Country,1958,1,2
863,The Big House,30,2,4
864,Bill and Coo,1948,0,0
865,Birds Anonymous,1957,1,1
866,The Bishop's Wife,1947,1,5
867,Black Fox: The Rise and Fall of Adolf Hitler,1962,1,1
868,Black Narcissus,1947,2,2
869,Black Orpheus,1959,1,1
870,The Black Swan,1942,1,3
871,Blithe Spirit,1946,1,1
872,Blood and Sand,1941,1,2
873,Blood on the Sun,1945,1,1
874,Blossoms in the Dust,1941,1,4
875,Body and Soul,1947,1,3
876,Bored of Education,1936,1,1
877,Born Yesterday,1950,1,5
878,A Boy and His Dog,1946,1,1
879,Boys Town,1938,2,5
880,The Brave One,1956,1,3
881,Breakfast at Tiffany's,1961,2,5
882,Breaking the Sound Barrier,1952,1,2
883,The Bridge of San Luis Rey,29,1,1
884,The Bridge on the River Kwai,1957,7,8
885,The Bridges at Toko-Ri,1955,1,2
886,Broadway Melody of 1936,1935,1,3
887,The Broadway Melody,29,1,3
888,Broken Lance,1954,1,2
889,Busy Little Bears,1939,1,1
890,BUtterfield 8,1960,1,2
891,Calamity Jane,1953,1,3
892,Call Me Madam,1953,1,2
893,"Captain Carey, U.S.A.",1950,1,1
894,Captains Courageous,1937,1,4
895,Casablanca,1943,3,8
896,Casals Conducts: 1964,1964,1,1
897,The Cat Concerto,1946,1,1
898,Cavalcade,33,3,4
899,Chagall,1963,1,1
900,The Champ,32,2,4
901,Champion,1949,1,6
902,A Chance to Live,1949,1,1
903,The Charge of the Light Brigade,1936,1,3
904,The Chicken,1965,1,1
905,Churchill's Island,1941,1,1
906,Cimarron,31,3,7
907,The Circus,28,0,0
908,Citizen Kane,1941,1,9
909,City of Wax,1934,1,1
910,Cleopatra,1934,1,5
911,Cleopatra,1963,4,9
912,Climbing the Matterhorn,1947,1,1
913,Come and Get It,1936,1,2
914,"Come Back, Little Sheba",1952,1,3
915,Coquette,29,1,1
916,The Country Cousin,1936,1,1
917,The Country Girl,1954,2,7
918,Cover Girl,1944,1,5
919,The Cowboy and the Lady,1938,1,3
920,Crash Dive,1943,1,1
921,Crashing the Water Barrier,1956,1,1
922,The Critic,1963,1,1
923,La Cucaracha,1934,1,1
924,Cyrano de Bergerac,1950,1,1
925,A Damsel in Distress,1937,1,2
926,Dangerous,1935,1,1
927,The Dark Angel,1935,1,3
928,The Dawn Patrol,31,1,1
929,Day of the Painter,1960,1,1
930,Daybreak in Udi,1949,1,1
931,Days of Wine and Roses,1962,1,5
932,December 7th,1943,1,1
933,Declaration of Independence,1938,1,1
934,The Defiant Ones,1958,2,9
935,Der Fuehrer's Face,1942,1,1
936,Desert Victory,1943,1,1
937,Design for Death,1947,1,1
938,Designing Woman,1957,1,1
939,Destination Moon,1950,1,2
940,The Diary of Anne Frank,1959,3,8
941,Disraeli,30,1,3
942,The Divine Lady,29,1,3
943,Divorce Italian Style,1962,1,3
944,The Divorcee,30,1,4
945,Dodsworth,1936,1,7
946,The Dot and the Line,1965,1,1
947,A Double Life,1947,2,4
948,The Dove,28,1,1
949,Dr. Jekyll and Mr. Hyde,32,1,3
950,Dumbo,1941,1,2
951,Dylan Thomas,1962,1,1
952,East of Eden,1955,1,4
953,Easter Parade,1948,1,1
954,Elmer Gantry,1960,3,5
955,The Enemy Below,1957,1,1
956,Eskimo,1934,1,1
957,Exodus,1960,1,3
958,The Face of Lincoln,1955,1,2
959,Facing Your Danger,1946,1,1
960,The Facts of Life,1960,1,5
961,Fantasia,1940,0,0
962,A Farewell to Arms,33,2,4
963,The Farmer's Daughter,1947,1,2
964,Father Goose,1964,1,3
965,Federico Fellini's 8½,1963,2,5
966,Ferdinand the Bull,1938,1,1
967,The Fighting Lady,1944,1,1
968,First Steps,1947,1,1
969,Flowers and Trees,32,1,1
970,Folies Bergere,1935,1,1
971,For Scent-imental Reasons,1949,1,1
972,For Whom the Bell Tolls,1943,1,9
973,Forbidden Games,1952,0,1
974,,1961,0,0
975,A Free Soul,31,1,3
976,Frenchman's Creek,1945,1,1
977,From Here to Eternity,1953,8,13
978,The Garden of Allah,1936,0,2
979,Gaslight,1944,2,7
980,Gate of Hell,1954,1,1
981,The Gay Divorcee,1934,1,5
982,Gentleman's Agreement,1947,3,8
983,Gerald McBoing-Boing,1950,1,1
984,Giant,1956,1,10
985,Gigi,1958,9,9
986,Giuseppina,1960,1,1
987,Give Me Liberty,1936,1,1
988,Glass,1959,1,1
989,The Glenn Miller Story,1954,1,3
990,Going My Way,1944,7,10
991,Gold Diggers of 1935,1935,1,2
992,The Golden Fish,1959,1,1
993,Goldfinger,1964,1,1
994,Gone with the Wind,1939,8,13
995,The Good Earth,1937,2,5
996,"Goodbye, Miss Turlock",1947,1,1
997,"Goodbye, Mr. Chips",1939,1,7
998,Grand Canyon,1958,1,1
999,Grand Hotel,32,1,1
1000,Grandad of Races,1950,1,1
1001,The Grapes of Wrath,1940,2,7
1002,The Great Caruso,1951,1,3
1003,Great Expectations,1947,2,5
1004,The Great Lie,1941,1,1
1005,The Great McGinty,1940,1,1
1006,The Great Waltz,1938,1,3
1007,The Great Ziegfeld,1936,3,7
1008,The Greatest Show on Earth,1952,2,5
1009,Green Dolphin Street,1947,1,4
1010,The Guns of Navarone,1961,1,7
1011,Hamlet,1948,4,7
1012,Happy Anniversary,1962,1,1
1013,Harvey,1950,1,2
1014,The Harvey Girls,1946,1,2
1015,Heavenly Music,1943,1,1
1016,The Heiress,1949,4,8
1017,Helen Keller in Her Story,1955,1,1
1018,"Hello, Frisco, Hello",1943,1,2
1019,Henry V,1946,0,4
1020,Here Comes Mr. Jordan,1941,2,7
1021,Here Comes the Groom,1951,1,2
1022,The High and the Mighty,1954,1,6
1023,High Noon,1952,4,7
1024,Hitler Lives,1945,1,1
1025,A Hole in the Head,1959,1,1
1026,The Hole,1962,1,1
1027,Holiday Inn,1942,1,3
1028,The Horse with the Flying Tail,1960,1,1
1029,The House I Live In,1945,0,0
1030,The House on 92nd Street,1945,1,1
1031,How Green Was My Valley,1941,5,10
1032,How the West Was Won,1963,3,8
1033,How to Sleep,1935,1,1
1034,Hud,1963,3,7
1035,The Human Comedy,1943,1,5
1036,The Hurricane,1937,1,3
1037,The Hustler,1961,2,9
1038,I Want to Live!,1958,1,6
1039,I Wanted Wings,1941,1,1
1040,I Won't Play,1944,1,1
1041,I'll Cry Tomorrow,1955,1,4
1042,In Beaver Valley,1950,1,1
1043,In Old Arizona,29,1,5
1044,In Old Chicago,1937,2,6
1045,In Which We Serve,1942,0,2
1046,The Informer,1935,4,6
1047,Interrupted Melody,1955,1,3
1048,The Invaders,1942,1,3
1049,Irma la Douce,1963,1,3
1050,It Happened One Night,1934,5,5
1051,"It's a Mad, Mad, Mad, Mad World",1963,1,6
1052,The Jazz Singer,28,0,1
1053,Jezebel,1938,2,5
1054,Joan of Arc,1948,2,7
1055,Johann Mouse,1952,1,1
1056,Johnny Belinda,1948,1,12
1057,Johnny Eager,1942,1,1
1058,The Joker Is Wild,1957,1,1
1059,The Jolson Story,1946,2,6
1060,Judgment at Nuremberg,1961,2,11
1061,Julius Caesar,1953,1,5
1062,Kentucky,1938,1,1
1063,Key Largo,1948,1,1
1064,The King and I,1956,5,9
1065,King of Jazz,30,1,1
1066,King Solomon's Mines,1950,2,3
1067,Kitty Foyle,1940,1,5
1068,Knighty Knight Bugs,1958,1,1
1069,Kokoda Front Line!,1942,1,1
1070,Kon-Tiki,1950,1,1
1071,Krakatoa,33,1,1
1072,Kukan,1941,0,0
1073,La Strada,1956,1,2
1074,La Dolce Vita,1961,1,4
1075,Lady Be Good,1941,1,1
1076,The Last Command,28,1,2
1077,Laura,1944,1,5
1078,The Lavender Hill Mob,1952,1,2
1079,Lawrence of Arabia,1962,7,10
1080,Leave Her to Heaven,1945,1,4
1081,Lend a Paw,1941,1,1
1082,Les Girls,1957,1,3
1083,A Letter to Three Wives,1949,2,3
1084,The Life of Emile Zola,1937,3,10
1085,Light in the Window,1952,1,1
1086,Lili,1953,1,6
1087,Lilies of the Field,1963,1,5
1088,The Little Kidnappers,1954,0,0
1089,The Little Orphan,1948,1,1
1090,Little Women,33,1,3
1091,Little Women,1949,1,2
1092,The Lives of a Bengal Lancer,1935,1,7
1093,The Living Desert,1953,1,1
1094,The Longest Day,1962,2,5
1095,Lost Horizon,1937,2,7
1096,The Lost Weekend,1945,4,7
1097,Love Is a Many-Splendored Thing,1955,3,8
1098,Love Me or Leave Me,1955,1,6
1099,Lust for Life,1956,1,4
1100,Magoo's Puddle Jumper,1956,1,1
1101,Main Street on the March!,1941,1,1
1102,The Man Who Knew Too Much,1956,1,1
1103,Manhattan Melodrama,1934,1,1
1104,Marie-Louise,1945,1,1
1105,Marty,1955,4,8
1106,Mary Poppins,1964,5,13
1107,Men Against the Arctic,1955,1,1
1108,The Merry Widow,1934,1,1
1109,A Midsummer Night's Dream,1935,2,7
1110,Mighty Joe Young,1949,1,1
1111,Mildred Pierce,1945,1,6
1112,The Milky Way,1940,1,1
1113,Min and Bill,31,1,1
1114,Miracle on 34th Street,1947,3,4
1115,The Miracle Worker,1962,2,5
1116,Mister Roberts,1955,1,3
1117,Monsieur Vincent,1948,0,0
1118,Moonbird,1959,1,1
1119,The More the Merrier,1943,1,6
1120,Morning Glory,33,1,1
1121,Moscow Strikes Back,1942,1,1
1122,Mother Wore Tights,1947,1,3
1123,Moulin Rouge,1952,2,7
1124,Mouse Trouble,1944,1,1
1125,Mr. Deeds Goes to Town,1936,1,5
1126,Mr. Smith Goes to Washington,1939,1,11
1127,Mrs. Miniver,1942,6,12
1128,Munro,1960,1,1
1129,The Music Box,32,1,1
1130,The Music Man,1962,1,6
1131,Mutiny on the Bounty,1935,1,8
1132,My Fair Lady,1964,8,12
1133,My Uncle,1958,1,1
1134,My Gal Sal,1942,1,2
1135,The Naked City,1948,2,3
1136,National Velvet,1945,2,5
1137,Nature's Half Acre,1951,1,1
1138,Naughty Marietta,1935,1,2
1139,Neighbours,1952,1,2
1140,Neptune's Daughter,1949,1,1
1141,Never on Sunday,1960,1,5
1142,The Night of the Iguana,1964,1,4
1143,Nights of Cabiria,1957,1,1
1144,Nine from Little Rock,1964,1,1
1145,None But the Lonely Heart,1944,1,4
1146,North West Mounted Police,1940,1,5
1147,"Now, Voyager",1942,1,3
1148,An Occurrence at Owl Creek Bridge,1963,1,1
1149,Of Pups and Puzzles,1941,1,1
1150,Oklahoma!,1955,2,4
1151,The Old Man and the Sea,1958,1,3
1152,The Old Mill,1937,1,1
1153,On the Town,1949,1,1
1154,On the Waterfront,1954,8,12
1155,One Hundred Men and a Girl,1937,1,5
1156,One Night of Love,1934,2,6
1157,One Way Passage,33,1,1
1158,Overture to The Merry Wives of Windsor,1953,1,1
1159,The Paleface,1948,1,1
1160,Panic in the Streets,1950,1,1
1161,Papa's Delicate Condition,1963,1,1
1162,The Patriot,29,1,5
1163,Penny Wisdom,1937,1,1
1164,Phantom of the Opera,1943,2,4
1165,The Philadelphia Story,1940,2,6
1166,Picnic,1955,2,6
1167,The Picture of Dorian Gray,1945,1,3
1168,Pillow Talk,1959,1,5
1169,The Pink Phink,1964,1,1
1170,Pinocchio,1940,2,2
1171,A Place in the Sun,1951,6,9
1172,Plymouth Adventure,1952,1,1
1173,Pollyanna,1960,0,0
1174,Porgy and Bess,1959,1,4
1175,Portrait of Jennie,1948,1,2
1176,Prelude to War,1942,1,1
1177,Pride and Prejudice,1940,1,1
1178,The Pride of the Yankees,1942,1,11
1179,Princess O'Rourke,1943,1,1
1180,The Private Life of Henry VIII,33,1,2
1181,The Private Life of the Gannets,1937,1,1
1182,Project Hope,1961,1,1
1183,The Public Pays,1936,1,1
1184,Pygmalion,1938,1,4
1185,Quicker'n a Wink,1940,1,1
1186,The Quiet Man,1952,2,7
1187,Quiet Please!,1945,1,1
1188,The Rains Came,1939,1,8
1189,Rashomon,1951,0,1
1190,The Razor's Edge,1946,1,4
1191,Reap the Wild Wind,1942,1,3
1192,Rebecca,1940,2,11
1193,The Red Balloon,1956,1,1
1194,The Red Shoes,1948,2,5
1195,The Robe,1953,2,5
1196,Robert Frost: A Lover's Quarrel with the World,1963,1,1
1197,Roman Holiday,1953,3,10
1198,Room at the Top,1959,2,6
1199,The Rose Tattoo,1955,3,8
1200,Sabrina,1954,1,6
1201,Samson and Delilah,1950,2,5
1202,Samurai I: Musashi Miyamoto,1955,0,0
1203,San Francisco,1936,1,6
1204,Sayonara,1957,4,10
1205,The Scoundrel,1935,1,1
1206,The Sea Around Us,1952,1,1
1207,Seal Island,1948,1,1
1208,The Search,1948,1,4
1209,Seawards the Great Ships,1961,1,1
1210,The Secret Land,1948,1,1
1211,Seeds of Destiny,1946,1,1
1212,Separate Tables,1958,2,7
1213,Serengeti Shall Not Die,1959,1,1
1214,Sergeant York,1941,2,11
1215,Seven Brides for Seven Brothers,1954,1,5
1216,Seven Days to Noon,1951,1,1
1217,The Seventh Veil,1946,1,1
1218,Shane,1953,1,6
1219,Shanghai Express,32,1,3
1220,She Wore a Yellow Ribbon,1949,1,1
1221,Shoeshine,1947,0,1
1222,The Silent World,1956,1,1
1223,The Sin of Madelon Claudet,32,1,1
1224,Since You Went Away,1944,1,9
1225,Skippy,31,1,4
1226,Sky Above and Mud Beneath,1961,1,1
1227,The Snake Pit,1948,1,6
1228,Snow White and the Seven Dwarfs,1937,0,1
1229,So Much for So Little,1949,1,1
1230,So This Is Harris!,33,1,1
1231,The Solid Gold Cadillac,1956,1,2
1232,Some Like It Hot,1959,1,6
1233,Somebody Up There Likes Me,1956,2,3
1234,The Song of Bernadette,1943,4,12
1235,Song of the South,1947,1,2
1236,Song Without End,1960,1,1
1237,Sons and Lovers,1960,1,7
1238,Sons of Liberty,1939,1,1
1239,South Pacific,1958,1,3
1240,Spartacus,1960,4,6
1241,Spawn of the North,1938,0,0
1242,Speaking of Animals and Their Families,1942,1,1
1243,Speedy Gonzales,1955,1,1
1244,Spellbound,1945,1,6
1245,Splendor in the Grass,1961,1,2
1246,Stagecoach,1939,2,7
1247,Stairway to Light,1945,1,1
1248,Stalag 17,1953,1,3
1249,Star in the Night,1945,1,1
1250,A Star Is Born,1937,1,7
1251,State Fair,1945,1,2
1252,The Story of Louis Pasteur,1936,3,4
1253,The Stratton Story,1949,1,1
1254,Street Angel,28,1,3
1255,A Streetcar Named Desire,1951,4,12
1256,Strike Up the Band,1940,1,3
1257,The Substitute,1961,1,1
1258,Sundays and Cybele,1962,1,3
1259,Sunrise,28,3,9
1260,Sunset Boulevard,1950,3,11
1261,Survival City,1955,1,1
1262,Suspicion,1941,1,3
1263,Sweet Bird of Youth,1962,1,3
1264,Sweethearts,1938,0,2
1265,Swing Time,1936,1,2
1266,Symphony of a City,1948,1,1
1267,Tabu,31,1,1
1268,Target for Tonight,1941,0,0
1269,"Teddy, the Rough Rider",1940,1,1
1270,Tempest,28,1,1
1271,The Ten Commandments,1956,1,7
1272,That Hamilton Woman,1941,1,4
1273,That Mothers Might Live,1938,1,1
1274,The Thief of Bagdad,1940,3,4
1275,The Third Man,1950,1,3
1276,Thirty Seconds Over Tokyo,1944,1,2
1277,This Above All,1942,1,4
1278,This Is the Army,1943,1,3
1279,This Land Is Mine,1943,1,1
1280,This Mechanical Age,1954,1,1
1281,Three Coins in the Fountain,1954,2,3
1282,The Three Faces of Eve,1957,1,1
1283,Three Little Pigs,33,1,1
1284,Three Orphan Kittens,1935,1,1
1285,Through a Glass Darkly,1961,1,2
1286,Thunderball,1965,1,1
1287,Thursday's Children,1954,1,1
1288,The Time Machine,1960,1,1
1289,A Time Out of War,1954,1,1
1290,Tin Pan Alley,1940,1,1
1291,The Titan: Story of Michelangelo,1950,1,1
1292,Titanic,1953,1,2
1293,To Catch a Thief,1955,1,3
1294,To Each His Own,1946,1,2
1295,To Kill a Mockingbird,1962,3,8
1296,Tom Jones,1963,4,10
1297,tom thumb,1958,1,1
1298,"Toot, Whistle, Plunk and Boom",1953,1,1
1299,Topkapi,1964,1,1
1300,The Tortoise and the Hare,1934,1,1
1301,Torture Money,1937,1,1
1302,Toward Independence,1948,1,1
1303,Transatlantic,32,1,1
1304,The Treasure of the Sierra Madre,1948,3,4
1305,A Tree Grows in Brooklyn,1945,1,2
1306,The True Glory,1945,1,1
1307,The True Story of the Civil War,1956,1,1
1308,Tweetie Pie,1947,1,1
1309,Twelve O'Clock High,1949,2,4
1310,Two Arabian Knights,28,1,1
1311,The Two Mouseketeers,1951,1,1
1312,Two Women,1961,1,1
1313,The Ugly Duckling,1939,1,1
1314,Underworld,28,1,1
1315,The V.I.P.s,1963,1,1
1316,Vacation from Marriage,1946,1,1
1317,Van Gogh,1949,1,1
1318,The Vanishing Prairie,1954,1,1
1319,The Virgin Spring,1960,1,2
1320,Viva Villa!,1934,1,4
1321,Viva Zapata!,1952,1,5
1322,Waikiki Wedding,1937,1,2
1323,The Walls of Malapaga,1950,0,0
1324,The War of the Worlds,1953,1,3
1325,Watch on the Rhine,1943,1,4
1326,Water Birds,1952,1,1
1327,The Way of All Flesh,28,1,1
1328,West Side Story,1961,10,11
1329,The Westerner,1940,1,3
1330,The Wetback Hound,1957,1,1
1331,What Ever Happened to Baby Jane?,1962,1,5
1332,When Tomorrow Comes,1939,1,1
1333,When Magoo Flew,1954,1,1
1334,When Worlds Collide,1951,1,2
1335,White Shadows in the South Seas,29,1,1
1336,White Wilderness,1958,1,2
1337,Who's Who in Animal Land,1944,1,1
1338,Why Korea?,1950,1,1
1339,Wilson,1944,5,10
1340,Wings,28,2,2
1341,Wings Over Everest,1935,1,1
1342,With a Song in My Heart,1952,1,5
1343,With Byrd at the South Pole,30,1,1
1344,With the Marines at Tarawa,1944,1,1
1345,The Wizard of Oz,1939,2,10
1346,Woman of the Year,1942,1,2
1347,Wonder Man,1945,1,4
1348,The Wonderful World of the Brothers Grimm,1962,1,4
1349,World of Kids,1951,1,1
1350,World Without Sun,1964,1,1
1351,Wrestling Swordfish,32,1,1
1352,Written on the Wind,1956,1,3
1353,Wuthering Heights,1939,1,8
1354,Yankee Doodle Dandy,1942,3,8
1355,The Yankee Doodle Mouse,1943,1,1
1356,The Yearling,1946,2,7
1357,"Yesterday, Today and Tomorrow",1964,1,1
1358,You Can't Take It with You,1938,2,7
1359,Zorba the Greek,1964,3,7
